index,prediction,actual,loan_default,aggregate_dscr_fall,dscr_fall,unspecified,debt_yield_fall,aggregate_debt_yield_fall,mezzanine_default,tenant_failure,mezzanine_outstanding,operator_termination,bankruptcy,sponsor_termination,renovations,nontrigger
351,0.0,1.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
353,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
570,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sum,0.0,3.0,1,0,0,0,2,3,1,0,0,0,0,0,0,0
