index,prediction,actual,loan_default,aggregate_dscr_fall,dscr_fall,unspecified,debt_yield_fall,aggregate_debt_yield_fall,mezzanine_default,tenant_failure,mezzanine_outstanding,operator_termination,bankruptcy,sponsor_termination,renovations,nontrigger
275,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
208,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
689,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
518,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
712,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sum,6.0,0.0,2,0,0,2,0,0,0,0,0,0,3,0,0,0
