index,prediction,actual,loan_default,aggregate_dscr_fall,dscr_fall,unspecified,debt_yield_fall,aggregate_debt_yield_fall,mezzanine_default,tenant_failure,mezzanine_outstanding,operator_termination,bankruptcy,sponsor_termination,renovations,nontrigger
1483,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
366,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
257,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
265,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
877,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sum,5.0,0.0,0,0,0,1,2,0,0,0,0,0,0,0,0,2
