index,prediction,actual,loan_default,aggregate_dscr_fall,dscr_fall,unspecified,debt_yield_fall,aggregate_debt_yield_fall,mezzanine_default,tenant_failure,mezzanine_outstanding,operator_termination,bankruptcy,sponsor_termination,renovations,nontrigger
567,0.0,1.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
379,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
88,0.0,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
sum,0.0,3.0,3,0,1,0,0,1,3,0,0,0,0,0,0,0
