index,prediction,actual,loan_default,aggregate_dscr_fall,dscr_fall,unspecified,debt_yield_fall,aggregate_debt_yield_fall,mezzanine_default,tenant_failure,mezzanine_outstanding,operator_termination,bankruptcy,sponsor_termination,renovations,nontrigger
587,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
552,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
576,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sum,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
